Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s]
SD7037_DOE,3600,0.0761999999999999,2,0.008,0.004,10,4,1.3963999999999999,1.1027811336916755,1.0682566297023137,13.023244142532349
SD7037_DOE,3600,0.0761999999999999,2,0.008,0.004,6,1,1.3963999999999999,1.96734713826459,0.5643185992935098,12.912893772125244
SD7037_DOE,3600,0.0761999999999999,2,0.018,0.009,10,4,1.3963999999999999,0.651788297928702,1.4075885362912102,12.895664930343628
SD7037_DOE,3600,0.0761999999999999,2,0.018,0.009,6,1,1.3963999999999999,1.0712246017459586,0.7170293882196024,12.96710205078125
SD7037_DOE,3600,0.1016,1,0.008,0.004,10,4,1.2164,0.2825264024992116,2.3145239562081463,19.14759922027588
SD7037_DOE,3600,0.1016,1,0.008,0.004,6,1,1.2164,0.425221240916195,1.37641955302536,16.999756574630737
SD7037_DOE,3600,0.1016,1,0.018,0.009,10,4,1.2164,0.2027445567621934,2.7139712534211005,19.2249538898468
SD7037_DOE,3600,0.1016,1,0.018,0.009,6,1,1.2164,0.2703417484936976,1.6346789872045193,19.326308727264404
SD7037_DOE,3600,0.1016,2,0.008,0.004,10,4,1.3963999999999999,0.48065581072873237,2.245767592161088,17.026946783065796
SD7037_DOE,3600,0.1016,2,0.008,0.004,6,1,1.3963999999999999,0.7680663058768973,1.2832606972236233,17.056360244750977
SD7037_DOE,3600,0.1016,2,0.018,0.009,10,4,1.3963999999999999,0.31811744403867204,2.7792841941287567,19.476184606552124
SD7037_DOE,3600,0.1016,2,0.018,0.009,6,1,1.3963999999999999,0.4561429202228467,1.5948769019733962,17.048198223114014
SD7037_DOE,3800,0.0761999999999999,1,0.008,0.004,10,4,1.1726,0.8139398441662601,0.8100050717510404,12.82571291923523
SD7037_DOE,3800,0.0761999999999999,1,0.008,0.004,6,1,1.1726,1.4671615688681725,0.42495263850208986,12.793225526809692
SD7037_DOE,3800,0.0761999999999999,1,0.018,0.009,10,4,1.1726,0.4723208528223986,1.0804453613692329,12.76420521736145
SD7037_DOE,3800,0.0761999999999999,1,0.018,0.009,6,1,1.1726,0.7901051517735482,0.5439364734143738,13.03873896598816
SD7037_DOE,3800,0.0761999999999999,2,0.008,0.004,10,4,1.3076,1.5445485882985657,0.7522748378951725,12.73792290687561
SD7037_DOE,3800,0.0761999999999999,2,0.008,0.004,6,1,1.3076,2.851450399722763,0.38842775293371995,12.874820232391357
SD7037_DOE,3800,0.0761999999999999,2,0.018,0.009,10,4,1.3076,0.862520251109569,1.0294604438740442,12.708885431289673
SD7037_DOE,3800,0.0761999999999999,2,0.018,0.009,6,1,1.3076,1.4968421002517402,0.5057265555101131,12.729605197906494
SD7037_DOE,3800,0.1016,1,0.008,0.004,10,4,1.1726,0.34310375630928786,1.741211079573628,19.341904163360596
SD7037_DOE,3800,0.1016,1,0.008,0.004,6,1,1.1726,0.5602298527907061,0.9807327231574625,17.151633501052856
SD7037_DOE,3800,0.1016,1,0.018,0.009,10,4,1.1726,0.2196843864878989,2.2029566350623333,19.11583948135376
SD7037_DOE,3800,0.1016,1,0.018,0.009,6,1,1.1726,0.3244769859549024,1.23942235014969,19.276525497436523
SD7037_DOE,3800,0.1016,2,0.008,0.004,10,4,1.3076,0.6030813535196422,1.701816688971858,17.169918537139893
SD7037_DOE,3800,0.1016,2,0.008,0.004,6,1,1.3076,1.0384473339065772,0.925195451443907,17.177268743515015
SD7037_DOE,3800,0.1016,2,0.018,0.009,10,4,1.3076,0.35495756440877146,2.277453021041145,19.15297555923462
SD7037_DOE,3800,0.1016,2,0.018,0.009,6,1,1.3076,0.5657393321871953,1.2179402476641332,17.217828035354614
SD7062_DOE,2300,0.0761999999999999,1,0.008,0.004,10,4,1.3064,0.8289824237980785,1.126176418460432,12.955409526824951
SD7062_DOE,2300,0.0761999999999999,1,0.008,0.004,6,1,1.3064,1.3261915377632767,0.6938541353099925,12.883828163146973
SD7062_DOE,2300,0.0761999999999999,1,0.018,0.009,10,4,1.3064,0.6513340161170272,1.7201049336645944,13.096771717071533
SD7062_DOE,2300,0.0761999999999999,1,0.018,0.009,6,1,1.3064,1.1421264463770398,1.123197988285171,12.868465662002563
SD7062_DOE,2300,0.0761999999999999,2,0.008,0.004,10,4,1.5764,1.5751152069453087,0.9657354433361847,13.02846908569336
SD7062_DOE,2300,0.0761999999999999,2,0.008,0.004,6,1,1.5764,2.5697459626014503,0.587275608654905,12.72646450996399
SD7062_DOE,2300,0.0761999999999999,2,0.018,0.009,10,4,1.5764,1.2195795793478987,1.489522592554998,12.810848712921143
SD7062_DOE,2300,0.0761999999999999,2,0.018,0.009,6,1,1.5764,2.2015700809042538,0.9539827206588835,12.906304836273193
SD7062_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.3636926355828239,2.3412065676784346,17.118555068969727
SD7062_DOE,2300,0.1016,1,0.008,0.004,6,1,1.3064,0.5392758854117863,1.5214870005644863,17.162726402282715
SD7062_DOE,2300,0.1016,1,0.018,0.009,10,4,1.3064,0.2605294449083663,3.0870891369268074,19.078543663024902
SD7062_DOE,2300,0.1016,1,0.018,0.009,6,1,1.3064,0.3503240770072826,2.1634718298789353,17.164435863494873
SD7062_DOE,2300,0.1016,2,0.008,0.004,10,4,1.5764,0.643440815499943,2.105491101972285,17.072771310806274
SD7062_DOE,2300,0.1016,2,0.008,0.004,6,1,1.5764,0.9951459296046007,1.3303956264182741,17.10043430328369
SD7062_DOE,2300,0.1016,2,0.018,0.009,10,4,1.5764,0.43591929758870596,2.8814608606982954,19.16666293144226
